ROADIE	Band hand
PAT	Butter bit
PAT	Stroke
PATCH	It may be by the seat of your pants
PATH	Way to go
PATIO	Deck's kin
PATIOS	Spots for weather-resistant chairs
PATNA	City on the Ganges
PATON	Cry, the Beloved Country author
PATS	Butter servings
PAULKLEE	The Golden Fish painter
PAULY	Shore of "Bio-Dome"
PAVE	Make lots
PAWNSHOP	Jewelry exchange, for some
PAWPAW	Tree with purple flowers
PAWS	Feet in a pound
PAWS	Rabbit's feet
PAX	Peace, to Pompey
PAYOLA	It may go for a song
PAYS	Picks up the check
PCT	Interest rate abbr.
PDAS	Palm products, for short
PEA	Pod piece
PEA	Potpie piece
PEA	Shell game need
PEABO	Singer Bryson
PEACEKEEPER	Mediation pro
PEACOCK	Blue hue
PEAK	Maximum
PEAK	Range component
PEAK	Sales chart highlight
PEAPOD	Chinese restaurant veggie
PEARS	Harry & David offering
PEARS	Harry & David offering
PEAS	Gerber's first baby food
PEASANTS	Rustic folks
PEC	Chest muscle
PECAN	Praline ingredient
PECCADILLO	Minor misdeed
PEDI	Salon service, for short
PEDRO	Pitcher Martinez
PEEK	Cheat, in a way
PEEL	Zest, essentially
PEELE	English playwright George
PEEPINGTOMMIX	Cowboy star cheating at hide-and-seek?
PEER	Duke, e.g.
PEER	Jury member
PEERIN	Use a keyhole
PEERING	Taking a close look
PEG	Cribbage piece
PEG	Fix at a particular level
PEG	Hard throw, in baseball
PEI	Rock and Roll Hall of Fame designer
PEKOE	Souchong alternative
PEKOE	Tea made from young leaves
PELE	Brazilian booter
PELLETS	Shot
PELOSI	Lady of the House?
PENH	Cambodia's Phnom ___
PENN	Home of the Quakers
PENNE	Ziti's cousin
PENNI	Old Finnish coin
PENS	Stock holders
PEOPLE	Mia Farrow graced its first cover
PEP	Bounce
PEPE	Muppets prawn
PEPS	Livens (up)
PEPSI	Refresh everything sloganeer
PEPSICOICEPOPS	Dessert-on-a-stick products from a soda giant?
PER	According to
PER	For every
PERFIDY	Treachery
PERIL	Jeopardy
PERKS	Job applicant's concern
PERM	Salon offering
PERMA	Press start?
PERSE	As such
PERSONAS	Assumed roles
PERSONS	Individuals
PERU	Its flag features a vicuña
PES	Foot, to Flavius
PESKY	Vexing
PESOS	Cuban cash
PEST	Kibitzer, e.g.
PESTERS	Bugs
PETA	Org. that sells "Cut class, not frogs" T-shirts
PETALUMA	City in Sonoma County
PETARD	Noisy explosive
PETITE	Slight
PETTYCRITICISM	Carping? Nitpicking of Richard? Whatever! I'm a PC
PEW	Believers' bench
PEWS	Flock holders
PEZ	Austrian candy brand
PEZ	Brand known for flip-back heads
PFCS	One-stripers, for short
PGA	Its members are experts at driving: Abbr.
PHIL	Dr. of daytime television
PHIL	Famous groundhog
PHIL	Knight of Nike
PHONENO	Bus. card info
PHONOS	Singles players
PIA	Singer Zadora
PIC	Snap
PICA	Sixth of an inch
PICASTREET	Road that's a sixth of an inch wide? Woof!
PIE	Chart inspiration
PIE	Pizza parlor order
PIECEOFMYHART	Song about a venison serving?
PIER	Boat stop
PIERCE	Fillmore's successor
PIERPRESSURE	Dockworkers' urgings?
PIETA	St. Peter's sculpture
PIETA	Statue in St. Peter's
PIETY	Saintly quality
PILAR	For Whom the Bell Tolls woman
PILL	Just what the doctor ordered
PILL	Just what the doctor ordered
PIN	ATM entry
PIN	Olympics souvenir
PINS	Alley targets
PINT	Cream buy
PINT	Tavern order
PINTER	The Caretaker playwright
PINTOS	Patchy horses
PIRANHAS	Toothy swimmers
PISA	Site of la Torre Pendente
PISANOS	Family of Italian sculptors
PISCES	Star fish
PIT	One may be out of date
PIT	Trading floor area
PITA	Gyro holder
PITAPAT	Racing heart sound
PITAS	Mideastern breads
PITCHIN	Lend a hand
PITS	Trading spots
PIUS	Papal name
PIXAR	Studio with a desk lamp mascot
PIXARFORTHECOURSE	Animation 101 textbook?
PL8GLASS	Aquarium material
PLAGUE	Locusts, e.g.
PLAINERTRAINER	Wanted: Fitness coach who's not so handsome
PLAINTS	Lamentations
PLANE	Geometry setting
PLANES	Runway models?
PLATOON	Sarge's charges
PLAYA	Desert basin
PLAYDATES	Arrangements for kids
PLEA	Bargaining topic
PLEAT	Feature of some trousers
PLIE	Bend at the barre
PLIE	Bend at the barre
PLINK	Piano sound
PLOP	Coin-in-a-fountain sound
PLOP	Fall into a recliner
PLOT	Novel idea
PLOWHORSES	They have pull on the farm
PLUMP	Like Santa
PLUS	Asset
PLY	Yarn strand
PNEU	Tire, at the Michelin plant
POD	Carob container
POD	Sci-fi escape vehicle
PODCASTCOSTPAD	Headline about an online program that got squatters evicted?
POE	Once upon a midnight dreary writer
POE	Quit the bust above my door! writer
POE	The Premature Burial author
POETRY	Frost lines
POETSCORNER	One who is bad to verse?
POGS	1990s collectibles
POINTS	Mortgage charge
POL	Party person
POLAR	Antithetical
POLE	Top of the world
POLISH	Like Copernicus
POLITE	Civil
POLO	Game played on a 300-yard field
POLS	Capitol group
POME	Fleshy fruit
POMELO	Grapefruit's kin
PONES	Southern breads
PONIARD	Slim dagger
POOLS	Crawl spaces?
POP	Grammy category
POPES	Three reigned in 1978
POPPUNK	Green Day genre
PORE	Minute hole
PORN	Profitable Internet business
PORSCHE	Boxster maker
PORTALPATROL	Internet access police?
POSE	It may be struck
POSEIDON	Brother of Zeus
POSEY	Parker of "A Mighty Wind"
POSITIVECHARGE	Proton feature? Favorable use of plastic? Whatever! I'm a PC
POSSECOMITATUS	Sheriff's power? Latin militia? Whatever! I'm a PC
POSSES	Spaghetti western outfits?
POST	Fence vertical
POSTIT	Brand of note
POSTS	Military bases
POT	Cash on hand?
POT	Cash on hand?
POTATOCHIP	Crisp? Tuber splinter? Whatever! I'm a PC
POTATOES	Shoestring material
POTS	Poker prizes
POTTER	Dumbledore's most famous student
POWER	Wire service?
PPS	Label for an additional afterthought
PRAISES	Raves about
PRATE	Chatter
PRAVDA	Newspaper from 1912 to 1991
PRAYED	Spoke up?
PRAYTO	Beseech
PREAMP	Rocker's gizmo
PRECEDE	Pave the way for
PRECEDENT	One might be cited
PRENTISS	Paula of "What's New Pussycat?"
PREVIEW	Early screening
PREXIES	University heads, in slang
PREYED	Took advantage of, with "on"
PRICECONTROLS	Anti-inflationary measures? Vincent's knobs? Whatever! I'm a PC
PRICY	Dear
PRIE	___-dieu (kneeling bench)
PRIE	___-dieu (kneeling bench)
PRIMA	___ ballerina
PRIMAL	Basic
PRIMAL	Basic
PRIMES	Prepares for firing
PRIMTIMEMMYS	September awards show
PRINCECHARMING	Fairy tale guy? Hexing a pop musician? Whatever! I'm a PC
PRINTERSINK	Place to wash up in a graphic arts shop?
PRISS	Puritanical person
PRIVATEBEDCACHES	Stockpiles of money kept under the mattress?
PRIVATETUTOR	Faculty member working for the U.S. Army?
PRIVYCOUNCILS	Royal advisers? Outhouse committees? Whatever! I'm a PC
PRIX	Grand ___
PROB	No ___! ("Certainly!")
PROBE	Senate investigation
PRODS	Incites
PRODS	Stimuli
PROLONG	Draw out
PROMPTS	Motivates
PRONOUN	What it is
PRONTO	With dispatch
PROOFREADER	Editor/geometry teacher
PROOFREADER	Member of the math faculty, at times?
PROPS	Respect, in slang
PROSE	Most writing
PROUDASAPEACOCK	Oozing hubris
PROVEIT	Skeptic's challenge
PROVO	Home of Brigham Young University
PROW	Boat stem
PROWLERSTOUR	Sightseeing trip for burglars? Woof!
PRUDE	Puritanical person
PRY	Act the snoop
PSALMS	Job follow-up
PSHAW	Fiddle-faddle!
PSI	Letter resembling a trident
PSI	Penultimate letter
PSIS	Penultimate letters
PSS	Ltr. addenda
PSS	Ltr. additions
PSS	They're elementary in NYC
PSSST	Over here...
PST	One of the L.A. times
PSU	Joe Paterno's sch.
PTA	Class action org.?
PTERO	Wing: Prefix
PUB	Watering hole
PUEBLO	Colorado State Fair setting
PUENTE	Latin jazz legend Tito
PULASKIDAYPARADE	Annual fall event on Fifth Avenue
PULIS	Woolly-coated sheepdogs
PUMA	American predator
PUNCHUP	Add some oomph to
PUNS	Homophonic high jinks
PURCHASINGPOWER	Money value
PUREE	Make baby food, perhaps
PURER	With fewer flaws
PUSH	Press
PUT	Call's counterpart
PUT	Call's counterpart
PUTT	Final stroke, generally
PUTTER	Green tool
PUTTY	Glazier's stuff
PVC	Pipe material, for short
QTIP	Earful, perhaps
QUANTA	Discrete amounts
QUAYCOMPONENT	Jetty support, for example?
QUI	On the ___ vive
QUITCOMPLAINING	*"Whine, whine, whine!"
RABELAIS	Creator of Gargantua and Pantagruel
RABID	Frighteningly fervent
RABIES	Foxes may carry it
RACE	Go pitapat
RACE	Meet heat
RACE	You can bet on it
RACECAR	Pixar's Lightning McQueen, for one
RACEH	Citation, e.g.
RACK	Pool need
RACKANDRUING	What a remorseful torturer thinks about?
RACKS	Hangouts for bowlers?
RAD	Awesome!
RAD	Awesome, dude!
RAD	Impressive, dude!
RADAR	Navigation aid
RADIANT	Glowing
RAF	Battle of Britain org.
RAF	Org. that battled the Luftwaffe
RAFFIA	Basketry material
RAGE	Fad
RAH	Crowd cry
RAH	Encouraging word
RAH	Encouraging word
RAHM	Barack's chief of staff
RAHRAH	Uncritically enthusiastic
RAHS	Calls from the stands
RAHU	Sun-swallowing demon of Hindu myth
RAIN	Goal of some seeders
RAIN	Picnic spoiler
RAINGEAR	Slickers and the like
RAINS	Comes down
RAISA	Mikhail Gorbachev's wife
RAISE	Promotion accompanier
RAISE	Union demand
RAISER	Confident poker player
RAITT	Something to Talk About singer
RAJA	Basketball's Bell
RAKE	Casino tool
RAKE	Croupier's need
RAMA	Seventh incarnation of Vishnu
RAMBLINMA	Song about a jabberin' parent?
RAMBO	Sly character?
RAMP	Parking garage part
RAMROD	Hard taskmaster
RAMS	Super Bowl XXXIV champs
RAN	Took off
RAN	Was fast, or wasn't fast
RANARISK	Wasn't cautious
RANAT	Attacked
RANCH	Where you're likely to see dirty hands
RANDOTCOMNUMBERS	Checked the data before investing in a Web company?
RANEE	Bombay royal
RANK	Standing in the military
RANT	Spout off
RANTO	Totaled
RANTS	Sounds off
RAP	Jadakiss's genre
RAP	Kind of sheet or music
RAPPER	Common or Juvenile
RARA	Scarce, to Scipio
RASCAL	Little devil
RASH	Foolhardy
RASH	Hasty
RASPY	Like Dylan's voice
RASTA	Reggae proponent
RAT	Mob pariah
RAT	Stoolie
RATE	Borrowing concern
RATON	Boca ___
RAUL	Julia of films
RAVAGE	Wreak havoc on
RAW	Inexperienced
RAW	Unprocessed
RAW	Untested
RAWBONNET	I'm returning this feathered headdress-it's just not refined
RAWEST	Least trained
RAWMATERIALS	Manufacturing supplies, in winter business
RAY	Laser output
RAY	Oscar-nominated 2004 biopic
RAYONS	Some synthetics
RAZE	Bring down
RAZOR	It may cut it close
RCA	Camcorder maker
RCA	One of Rockefeller Center's original tenants
RCAS	Some HDTVs
RDA	Old nutrition label abbr.
RDAS	Suggested amts.
REA	Stephen of "The Crying Game"
REA	Stephen of "V for Vendetta"
REACHER	Rude fellow at the dinner table
REACT	Change chemically
REACT	Duck, say
READ	Go over
READD	Check the bill
READER	Circulation unit
READS	Checks the books?
READS	Has a novel experience?
READUP	Do research
REAIR	Show a second time
REAL	Bona fide
REALISTS	They're no dreamers
REALM	Province
REALS	Rational and irrational numbers
REAMERS	Juice-extracting utensils
REAR	Rumble seat setting
REARM	Undo a truce
REARMOST	Like the cheap seats, often
REASK	Repeat the question
REBA	Grammy winner McEntire
REBA	Nellie's portrayer in the version of "South Pacific" aired by PBS
REBBE	Hasidic leader
REBBES	Synagogue scholars
REBELREBEL	1974 David Bowie song
RECANT	Take back
RECENT	Fresh
RECT	Sq., e.g.
RED	Cardinal, e.g.
REDANTS	Kitchen pests
REDCARD	Ejection penalty in soccer
REDCARWINDOW	Product that offers drivers a rosy outlook on things?
REDD	Milwaukee Bucks player Michael
REDDENS	Shows shame
REDHOT	Flying off the shelves
REDIAL	Phone button
REDS	Best Picture loser to "Chariots of Fire"
REDTAPE	Piles of paperwork, perhaps
REDUCED	Marked down
REDUCINGHEADCOUNT	Firing
REEBOK	Puma rival
REECE	Volleyball star Gabrielle
REED	Sax object
REEDIER	More high-pitched
REEDS	Orchestra section
REEF	Yachting hazard
REEFER	Joint
REEK	Make a stink
REEL	Proceed besottedly
REELS	Film vault collection
REELS	Projection booth stack
REES	Roger of "Nicholas Nickleby"
REESE	Joaquin's "Walk the Line" co-star
REESE	Pee Wee in Cooperstown
REESES	Hershey brand
REEVE	Caine's co-star in "Deathtrap"
REEVE	Third tale-teller in "The Canterbury Tales"
REF	Fellow with a flag
REFILM	Do a double take?
REGAL	Fit for a king
REGALES	Entertains
REGIMNT	Military unit
REHIRE	Put back on the payroll
REIN	Checking device
REIN	Connection for a bit
REININ	Control
REINING	Keeping under control
RELATEDTO	Made a connection with
RELATETO	Empathize with
RELAXES	Takes it easy
RELIC	Object of veneration
RELIEFPITCHER	Closer/aspirin salesman
RELIVE	Experience again
RELL	Connecticut governor Jodi
RELO	Move, in realty lingo
RELS	Fam. members
RELY	Have a dependency
RELYUPON	Trust
REMAN	Get a new crew for
REMAP	Move borders, perhaps
REMORAS	Shark suckers
REMORSE	Sentence modifier?
REN	Cartoon Chihuahua
RENAL	Kidney-related
RENAME	Change the title of
RENE	Director Clair
RENEE	Russell's "Cinderella Man" co-star
RENEGE	Play the wrong suit
RENI	Baroque painter Guido
RENO	The Biggest Little City in the World
RENO	National Automobile Museum setting
RENT	Seasons of Love show
RENTACOP	Security worker
RENTAL	Budget offering
RENTERS	Many Manhattanites
REO	1927's Flying Cloud, for one
REO	Antique auto
REO	Flying Cloud maker
REO	Monogrammatic car of old
REOPEN	Look into, as a cold case
REOS	Model T contemporaries
REPASTE	Glue back
REPLIES	Some email messages
REPLY	Email option
REPORT	Show up for service
REPS	Sales force, informally
RERIG	Hoist again, as sails
RES	Court matter
RES	Thing, for lawyers
RES	Thing, for lawyers
RES	___ judicata
RESANK	Put under again
RESEE	Catch a second showing of
RESELL	Scalp, e.g.
RESET	Button for bowlers
RESET	Stopwatch button
RESET	Turn back to zero
RESIDES	Dwells
RESIN	Amber, for one
RESIN	Frankincense or myrrh
RESIN	Pine product
RESP	In that order: Abbr.
RESPECTS	Looks up to
REST	Hammock break
REST	Kick back
REST	Take five
RESTART	Computer command
RET	Collecting Soc. Sec.
RETAG	Mark down, perhaps
RETEAM	Collaborate a second time
RETIE	Even the score once more
RETIRED	Like uniform number 42, in major league baseball
RETIREES	Many Miamians
RETIREMENTHONTHERANGE	Western facility for seniors?
RETIRES	Hits the sack
RETOOL	Overhaul
RETORE	Injured again, as a rotator cuff
RETURNEE	Comeback kid?
RETURNS	CPA's pile
REUNION	Class act
REUP	Enlist for another hitch
REUP	Sign on for another hitch
REVIEW	Critical work
REVOIR	Au follower
REWEAR	Put on a hand-me-down
REWEDS	Emulates Liz and Dick
REY	Ferdinand, por ejemplo
REY	Fernando of "The French Connection"
RHEIMS	Champagne city
RHINO	Thick-skinned beast
RHO	Sigma preceder
RHO	Sorority letter
RHODA	Mary's friend
RHODA	Valerie played her
RHODESSCHOLAR	Faculty member with expertise on a Greek island?
RHOS	Density symbols
RHUMBA	Sensuous ballroom dance
RHYMSCHEM	ABBA, for one
RIAL	Currency of Iran
RIALTO	Heart of Venice
RIALTO	Venetian shopping district
RIATA	Calf catcher
RIATA	Cow catcher
RIB	Tease
RICE	Jambalaya need
RIDE	Hitcher's hope
RIEN	Non, Je Ne Regrette ___ (Edith Piaf song)
RIF	Noted nonprofit literacy org.
RIFFRAFF	The great unwashed
RIGA	Baryshnikov's birthplace
RIGA	Capital about 525 miles west of Moscow
RIGG	Macnee's "The Avengers" co-star
RIGUP	Construct
RILLET	Small brook
RIN	Thousandth of a yen
RIND	Drink garnish, often
RIND	Lime layer
RING	Call on the phone
RING	Fight site
RING	Hand band
RINGO	1973 album featuring "Photograph"
RINSE	Washer cycle
RINSED	Finished cleaning
RINSO	Amos 'n' Andy sponsor
RIO	Black Orpheus setting
RIO	Kia subcompact
RIODE	___ la Plata
RIOT	Hilarious sort
RIOTS	Disorderly demonstrations
RIP	Criticize sharply
RIPE	Opportune
RIPEN	Turn color, maybe
RIPOPEN	Make no effort to save the wrapping from
RIPOSTE	Comeback
RIPUP	Make confetti of
RISE	Levitator's command
RITA	Wilson or Coolidge
RITT	Norma Rae director Martin
RIVERBED	Site of deposits between banks
RIVETER	Rosie, notably
RKO	Citizen Kane studio
RMS	Abbr. in many real estate ads
RNA	It has a sequence of bases
RNS	ER personnel
ROACH	Raid ad critter
ROACH	Raid target
ROADS	Map lines
ROAN	Animal with a speckled coat
ROAN	Chestnut with white mixed in, e.g.
ROAN	Reddish-brown
ROAR	Bellow
ROAR	Noise from fans
ROAR	Safari sound
ROARER	64-Across, at times
ROAST	Comic tribute
ROB	Knock over
ROBB	___ Report (luxury lifestyle magazine)
ROC	1001 Nights bird
ROC	Arabian Nights bird
ROCCO	Golfer Mediate
ROCKAROUNDTHECOCK	Song centered on a rooster?
ROCKET	Atlas, for one
ROD	Cone's counterpart
ROD	Symbol of punishment
ROD	With 73-Down, two-time winner of tennis's Grand Slam
RODE	Heckled
RODE	Took the bus
RODE	Used public transportation
RODGERSANDHAMMERSTEIN	Team whose favorite collaboration was 85-Across
RODS	Curtain inserts
ROE	Future fish
ROI	Versailles VIP
ROID	___ rage (bodybuilder's aggression)
ROLAND	Paladin to Charlemagne
ROLE	Audition goal
ROLE	Ford part
ROLE	Part
ROLLON	Deodorant choice
ROLOS	Caramel candies
ROM	Book before 1 Cor.
ROMAN	Goth's foe
ROMEO	Letter between Quebec and Sierra
ROMEO	Passionate fellow
ROMERO	Dawn of the Dead director
ROMPING	Frolicking
ROMULANS	Warbird fliers in the "Star Trek" universe
RON	Friend of Harry and Hermione
RON	Friend of Harry and Hermione
RONIN	Samurai without a master
RONS	Howard and Paul
ROO	Pooh pal
ROOMS	Hotel units
ROONEY	Hardy player
ROPE	Something to skip
ROPES	Ring's border
RORY	One of the Gilmore girls
ROS	Sigur ___ (Icelandic post-rock band)
ROSA	Parks in Alabama
ROSARIO	Karen's maid on "Will & Grace"
ROSE	Part of the American Greetings logo
ROSE	Token of affection
ROSEBAY	Hardy rhododendron shrub
ROSES	Valentine's Day gift
ROSETEA	Aromatic brew
ROSIN	Bow application
ROSS	Lady Sings the Blues star
ROSSI	Martini's partner
ROSY	Optimistic
ROT	Claptrap
ROT	Poppycock
ROTC	Campus marching gp.
ROTINI	Edible spirals
ROTO	Old newspaper section
ROTOR	Engine turner
ROTS	Spoils
ROTS	Turns
ROTTEN	Rank
ROUEN	Monet painted its cathedral
ROUSE	Get out of bed
ROUSE	Provoke
ROUST	Awaken harshly
ROVES	Knocks about
ROW	Spreadsheet unit
ROWS	Spreadsheet features
ROXANE	Cyrano's love
ROY	Painter Lichtenstein
ROY	Painter Lichtenstein
ROYALWE	Elizabethan pronoun?
RPI	Troy sch.
RPMS	Record speeds, for short
RPS	Rotational speed meas.
RRS	They have Xings
RST	Trio running around a classroom, maybe
RUBE	Bumpkin
RUDER	Less civil
RUE	Wish undone
RUES	Is sorry for
RUG	It may have a nap on the floor
RUIN	Totally botch
RUNAT	Charge
RUNIN	Scrap
RUNNERUP	Place placer
RUNS	Bank worries
RUNSINTO	Meets by chance
RUPPARENA	Home of the Wildcats
RUSHEE	Pledge
RUSK	Kennedy's secretary of state
RUTS	Road furrows
RVS	Park parkers, for short
RYDERDRYER	Item in a transportation company's laundry room?
RYE	Deli choice
RYE	Deli choice
RYES	Deli loaves
RYES	Deli slices
RYES	Hardy grains
RYESEED	Bread bit
SAAB	Born From Jets car company
SAAB	Car with a griffin logo
SABENA	Belgian airline from 1923 to 2001
SABRA	Native-born Israeli
SABU	The Thief of Bagdad star
SAC	Membranous pouch
SACK	Blitzer's goal
SACK	Blitzing goal
SACK	Give a pink slip to
SACRE	___ bleu!
SAD	Down
SADDAM	He was captured in December 2003
SAFENESS	Important quality in products for toddlers
SAFES	Bond holders, perhaps
SAGA	Big account
SAGAS	Lengthy tales
SAGE	Peppery herb
SAGES	Great thinkers
SAGES	Wise guys
SAGES	Wise guys
SAGHEATER	I'm returning this room warmer-it makes my floor bend downward
SAHARA	About 30% of Africa
SAID	Aforementioned
SAIDNO	Didn't acquiesce
SAIL	Spanker, e.g.
SAIL	The answer is blowin' in the wind
SAINT	Virtuous sort
SAKE	Sushi bar offering
SAKI	The Open Window author
SAL	Baseball's Bando
SALAAM	Deep bow
SALAAM	Low bow
SALAD	Leafy lunch
SALAD	Leaves for lunch
SALADA	Lipton rival
SALADA	Lipton rival
SALADBAR	Steakhouse amenity
SALARY	Job interview topic
SALE	Pitcher's goal
SALEM	The Crucible setting
SALESRESISTANCE	Buyer's balkiness
SALESTAX	Receipt line
SALIS	Cum grano ___ (with a grain of 29-Down)
SALON	Online political magazine
SALSA	Burrito garnish
SALSAS	Dips for chips
SALSAS	Zesty toppings
SALT	See 97-Across
SALTED	Like some nuts
SALUTE	General acknowledgment
SAMEHERE	That goes for me, too
SAMIAM	Profferer of green eggs
SAMOAN	Mead subject
SAMOS	Island on which Pythagoras was born
SAMOSAS	Delhi dishes
SAMPAN	Boat whose name means "three boards"
SAMPLE	Use bits of one recording in another
SAMPLER	Embroidered alphabet
SAN	Japanese title of respect
SANAA	Yemen's capital
SANCHOPANZA	Literary squire
SANDLER	Big Daddy star
SANE	Fit to be tried
SANI	___-Flush (bathroom brand)
SANS	Lacking
SANTAFE	Georgia O'Keeffe Museum home
SANTANA	Oye Como Va band
SANTIAGOFISHMONGER	Seller of Chilean sea bass?
SANYO	Sharp competitor
SAONE	River of eastern France
SAP	Easy mark
SAPP	Football tackle Warren who competed on "Dancing With the Stars"
SAPPIER	More cornball
SAPS	Easy dupes
SAPS	Easy targets
SAPS	Pigeons
SAPS	Suckers
SARA	1986 hit for Starship
SARA	Mystery writer Paretsky
SARABI	Simba's mother, in "The Lion King"
SARACEN	Crusader's foe
SARAH	Piper Palin's mother
SARAI	Abram's wife
SARAN	Wrap polymer
SARASOTA	Clown College home
SARDINIA	Its capital is Cagliari
SARI	Bollywood costume
SARI	Delhi dress
SARI	Draped garment
SARI	Madras garment
SAS	Carrier out of Stockholm
SAS	Carrier to Arlanda Airport
SAS	Carrier to Stockholm
SASHA	Malia's little sister
SASHAYED	Walked with careless ease
SASHAYS	Struts
SASS	Bratty talk
SASSER	Frist's predecessor in the Senate
SAT	Parked it
SATE	Quench
SATE	Stuff
SATI	Three-part ordeal for H.S. students
SATIATE	Gorge
SAUNA	Room with wooden benches, often
SAUNA	Sweater's place?
SAVALAS	Telly on the telly
SAVE	Except for
SAVE	Relief pitcher's goal
SAVER	Person of interest?
SAVES	Reliever's record
SAVOIR	___-faire
SAVORER	Gourmet, say
SAW	It may cause a division in the board
SAW	Make the cut
SAW	Words of wisdom
SAWED	Cut through
SAWFIT	Considered acceptable
SAWFIT	Considered wise
SAWYER	Thatcher follower
SAX	Grover Washington Jr.'s instrument
SAY	For example
SAY	Right to decide
SAYPLEASE	Reminder from Mom
SAYS	Indicates
SBA	Govt. lender
SBARRO	Mall pizza chain
SCAB	Line breaker
SCADS	A whole bunch
SCAMS	Rackets
SCAN	Check prices, in a way
SCANS	Does a checkout chore
SCANS	Does a checkout chore
SCAPULAS	Shoulder blades
SCAR	Cut line
SCAR	Harry Potter feature
SCAR	Surgery reminder
SCAREAWAY	Run off
SCENTS	Leads for hounds
SCH	Acad. or coll.
SCHEMA	Conceptual pattern
SCHON	Word heard after "danke"
SCHOOL	Instruct
SCI	Discovery Channel subj.
SCIENCE	Experimental field
SCIONS	Toyota-made autos
SCISSORSAREFORWIMPS	Individual string cheese: "Safety first! Open with hands, not teeth"...
SCOLD	Give what for
SCONE	Crumpet's cousin
SCONE	Teatime treat
SCONE	Treat with tea
SCONES	Tea shop treats
SCOOT	Dash
SCOREBIG	Hit the jackpot
SCOT	Andrew Carnegie, for one
SCOT	Andrew Carnegie, for one
SCOT	Loch Ness local
SCOT	Sean Connery, for one
SCOTFREE	Without repercussions
SCOTT	Great guy?
SCOTTS	Big name in lawn care
SCOW	Trash transport
SCRAMS	Shoves off
SCRAPE	Pickle
SCREAM	Absolute hoot
SCREEN	Fly catcher
SCREEN	Window insert
SCRIPTS	Lines at the movies?
SCUBADIVES	Bad-day-in-the-market headline for the Navy SEALs?
SCULPTURE	It might be a bust
SCUSA	Italian apology
SDI	Star Wars, initially
SEA	School setting
SEA	Where the buoys are
SEAGAL	Under Siege star
SEAH	Curly-tailed swimmer
SEAHAG	Foe of Popeye
SEALING	Purpose of some wax
SEALS	Ball-bearing creatures
SEAPORT	34-Down, for one
SEAR	Lock in the juices, in a way
SEAR	Parch
SEARCHOPTIONS	Google offering
SEARED	Cooked, as a steak
SEASECTION	The Bermuda Triangle, e.g.?
SEASICK	Feeling discomfort in waves
SEASNAKES	Venomous swimmers
SEAT	Campaign goal
SEAT	Exchange membership
SEAT	House position
SEATBELT	Flight attendant's prop
SEATTLE	1962 World's Fair setting
SEC	Brief moment
SEC	Market watcher: Abbr.
SEC	Market-overseeing org.
SEC	Nasdaq overseer
SEC	Wall St. overseer
SEC	Wall St. watchdog
SECEDES	Withdraws
SECONDROUND	First-week Wimbledon hurdle for Serena
SECRET	Ban competition
SECRETE	Hide
SEDAKA	Calendar Girl singer
SEDAN	Park Avenue, for one
SEDATE	Calm
SEDATED	Under
SEDER	Nisan feast
SEE	Make out
SEEA	___ pin,...
SEEDS	Farmer's purchase
SEEDTIME	Sowing season
SEEIT	Now you ___..
SEEK	Go after
SEEM	Come across as
SEEN	Spotted
SEEN	Taken in
SEENTO	Handled
SEER	Prophet
SEES	Understands
SEESTO	Handles
SEEYA	Later!
SEGA	Big maker of pachinko machines
SEGA	Company whose mascot is Sonic the Hedgehog
SEGER	Night Moves singer
SEI	Half of dodici
SEINE	The Pont Neuf spans it
SELA	Ward on television
SELECTS	Picks
SELES	Youngest-ever French Open champion
SELL	Make like a bear
SELMA	National Voting Rights Museum site
SEM	Place to get a Th.D.
SEMI	It's in it for the long haul
SEMICOLDCON	One who's chilling in the big house?
SEMICONDUCTOR	Part-time music faculty member?
SEMINAL	Groundbreaking
SEN	McConnell or McCain: Abbr.
SENAT	Upper house of France's Parliament
SENATOR	Boxer, for one
SEND	Make ecstatic
SENG	Hong Kong's Hang ___ Index
SENNA	Medicinal herb
SENNETT	Keystone Studios founder Mack
SENSE	Meaning
SENSE	Savvy
SENSES	Perceptual quintet
SENT	Dispatched
SENT	On its way
SENTA	Berger of "Major Dundee"
SENTIN	Allowed to play
SENTIN	Submitted
SENTIN	Submitted
SEPAL	Petunia part
SEPT	Half of quatorze
SEPT	Patriot Day mo.
SEPTA	Nose separators
SEPTET	Beethoven's Opus 20, e.g.
SERA	Word repeated in a Doris Day song
SERE	Dried up
SERI	Golfer Pak
SERIAL	Soap
SERIF	B line?
SERIN	Canary's cousin
SERPENT	Biblical tempter
SERRATEDDEVELOPMENT	TV show about a breakthrough in knife research?
SERUM	It's in your blood
SERV	Part of USPS: Abbr.
SERVICECHARGE	Ticketmaster add-on
SESAME	Bagel variety
SESAME	Tahini base
SESAMETESTER	TV show about someone who examines seeds?
SESE	...like Zaire's Mobutu ___ Seko
SESS	Meeting: Abbr.
SET	Band offering
SET	Fixed
SETA	___ good example
SETADATE	Decide when the wedding will be
SETAT	Assail
SETTO	Rhubarb
SEURAT	Bathers at Asnières painter
SEUSS	Yertle's creator
SEVE	___ Trophy (golf tourney)
SEVEN	One may be rolled for money
SEWARDS	___ Folly (Alaska nickname)
SEWER	Urban alligator's home
SEWERAGE	City conduit network
SEWS	Puts in stitches
SEXED	H.S. health class
SEXED	Sch. health course
SEXES	Sides in an ongoing battle
SEXES	Sides in an ongoing battle
SEXES	Two sides in a battle
